scenario,method,seed,round,client_update_norm,cross_seed_mean_update_norm,absolute_deviation,relative_deviation_percent
High-straggler,Async-FedDRL,5629,37,0.16506522785937733,0.16497632711081067,8.890074856665597e-05,0.053886972830316106
High-straggler,Async-FedDRL,6740,37,0.16496407784207368,0.16497632711081067,1.2249268736996832e-05,0.00742486449511589
High-straggler,Async-FedDRL,7851,37,0.1647695905363913,0.16497632711081067,0.00020673657441935833,0.12531287248290982
High-straggler,Async-FedDRL,3407,38,0.1653058082538516,0.16498542395401117,0.00032038429984043715,0.19418945756671366
High-straggler,Async-FedDRL,4518,38,0.16489061233120283,0.16498542395401117,9.481162280833288e-05,0.057466666167285865
High-straggler,Async-FedDRL,5629,38,0.16501081443093485,0.16498542395401117,2.5390476923681238e-05,0.015389527338341539
High-straggler,Async-FedDRL,6740,38,0.16506219863201863,0.16498542395401117,7.677467800745741e-05,0.04653421870095503
High-straggler,Async-FedDRL,7851,38,0.1646576861220479,0.16498542395401117,0.00032773783196327066,0.1986465374387412
High-straggler,Async-FedDRL,3407,39,0.16526945023832992,0.16501665192502707,0.0002527983133028544,0.15319563835152203
High-straggler,Async-FedDRL,4518,39,0.16506242457470127,0.16501665192502707,4.57726496742028e-05,0.027738200442340172
High-straggler,Async-FedDRL,5629,39,0.16500953521603196,0.16501665192502707,7.116708995114074e-06,0.004312721723591537
High-straggler,Async-FedDRL,6740,39,0.1651001269822996,0.16501665192502707,8.347505727251958e-05,0.05058583864036053
High-straggler,Async-FedDRL,7851,39,0.1646417226137726,0.16501665192502707,0.0003749293112544627,0.2272069557106312
High-straggler,Async-FedDRL,3407,40,0.1653226420574349,0.1650306868849162,0.0002919551725187042,0.17690962694853138
High-straggler,Async-FedDRL,4518,40,0.1650798938981819,0.1650306868849162,4.920701326568966e-05,0.0298168869041938
High-straggler,Async-FedDRL,5629,40,0.1650431671076807,0.1650306868849162,1.2480222764482685e-05,0.007562364915311624
High-straggler,Async-FedDRL,6740,40,0.16512705348493523,0.1650306868849162,9.636660001902109e-05,0.058393139989911164
High-straggler,Async-FedDRL,7851,40,0.1645806778763484,0.1650306868849162,0.00045000900856781434,0.27268201875789755
High-straggler,Async-FedDRL,3407,41,0.16539122221147848,0.16511559201550147,0.00027563019597701133,0.1669316583688441
High-straggler,Async-FedDRL,4518,41,0.16495328846088642,0.16511559201550147,0.00016230355461505086,0.0982969280089632
High-straggler,Async-FedDRL,5629,41,0.16499052138962128,0.16511559201550147,0.00012507062588018591,0.07574731395957081
High-straggler,Async-FedDRL,6740,41,0.16529940534568172,0.16511559201550147,0.00018381333018024915,0.11132402938844944
High-straggler,Async-FedDRL,7851,41,0.16494352266983933,0.16511559201550147,0.00017206934566213472,0.10421144578882678
High-straggler,Async-FedDRL,3407,42,0.16535356845121538,0.1651291311013179,0.0002244373498974661,0.1359162665004024
